Archivo,Proveedor,Fecha,NÂºFactura,Reconciliacion,Excel
2130 2T24 0517 JIMELUZ EF.pdf,JIMELUZ,17-05-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2130_2T24_0517_JIMELUZ_EF.xlsx
2131 2T24 0519 JIMELUZ EF.pdf,JIMELUZ,19-05-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2131_2T24_0519_JIMELUZ_EF.xlsx
2147 2T24 0607 JIMELUZ EF.pdf,JIMELUZ,07-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2147_2T24_0607_JIMELUZ_EF.xlsx
2155 2T24 0614 JIMELUZ EF.pdf,JIMELUZ,14-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2155_2T24_0614_JIMELUZ_EF.xlsx
2157 2T24 0615 JIMELUZ 2 TJ.pdf,JIMELUZ,15-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2157_2T24_0615_JIMELUZ_2_TJ.xlsx
2158 2T24 0615 JIMELUZ EF.pdf,JIMELUZ,15-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2158_2T24_0615_JIMELUZ_EF.xlsx
2195 2T24 0619 JIMELUZ TJ.pdf,JIMELUZ,19-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2195_2T24_0619_JIMELUZ_TJ.xlsx
2199 2T24 0623 JIMELUZ TJ.pdf,JIMELUZ,23-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2199_2T24_0623_JIMELUZ_TJ.xlsx
2200 2T24 0624 JIMELUZ TJ.pdf,JIMELUZ,24-06-24,,NO_RECONCILE_MISSING_TOTAL,out\jimeluz_20250914_2122\2200_2T24_0624_JIMELUZ_TJ.xlsx
